Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
2,1,2,4,2,2,2,2,3,7,2,1,4,2,23.0,1
2,1,2,5,2,2,1,4,1,2,1,1,5,3,35.0,2
2,1,2,2,1,2,1,1,1,2,2,6,12,3,47.0,3
2,1,2,5,2,2,1,2,1,2,1,7,4,2,30.0,4
4,1,1,3,1,2,1,2,1,2,1,7,5,2,17.0,4
3,1,1,2,1,2,1,1,1,2,1,8,2,3,48.0,4
6,1,2,4,1,2,2,1,3,9,1,5,2,3,37.0,3
2,1,1,5,2,2,1,3,1,2,1,6,10,3,45.0,3
1,1,1,3,3,2,1,2,1,1,1,1,7,3,39.0,1
2,1,1,3,2,2,1,1,1,2,1,1,4,4,52.0,1
2,1,1,4,2,2,1,2,1,1,1,2,2,4,60.0,1
2,1,2,4,2,2,1,1,1,2,1,3,10,2,29.0,2
2,1,2,5,2,2,1,1,1,1,1,4,2,2,26.0,2
1,1,1,5,1,2,1,1,1,1,1,3,10,3,46.0,2
2,1,1,2,2,2,2,2,1,1,1,8,9,4,53.0,3
2,1,1,4,2,2,2,2,5,6,1,1,5,2,16.0,2
2,1,2,5,2,2,1,2,1,2,1,4,8,1,6.0,2
2,1,1,7,2,2,1,3,1,2,1,1,2,1,5.0,1
1,1,1,3,1,2,1,1,1,1,2,5,3,3,47.0,3
3,1,2,3,1,2,1,1,1,1,1,6,11,3,46.0,2
1,1,1,3,2,2,1,1,3,9,1,2,3,3,38.0,1
3,1,1,2,1,2,1,1,1,2,2,2,12,2,25.0,1
2,1,2,3,2,2,1,1,1,2,1,6,11,2,17.0,4
1,1,1,3,1,2,1,2,1,1,1,2,8,4,60.0,1
3,1,1,3,1,2,1,1,1,1,1,2,2,3,32.0,1
2,1,1,6,2,2,1,1,1,2,2,3,2,3,35.0,2
2,1,2,5,2,2,1,2,1,2,1,4,7,2,18.0,2
2,1,1,5,2,2,1,2,1,9,1,5,2,3,42.0,3
5,1,2,3,1,2,2,2,1,2,2,6,11,2,26.0,4
